Date,Close,High,Low,Open,Volume
1/2/14,15.1797781,15.21294058,14.84816119,14.88961271,17503697
1/3/14,15.04713631,15.35388304,14.98910353,15.27926901,13976294
1/6/14,15.21294212,15.38704043,15.0637141,15.29584675,11622763
1/7/14,15.14662075,15.17149104,14.88132716,15.08029735,10216714
1/8/14,14.88961601,15.01397377,14.74038956,15.01397377,13369077
1/9/14,14.70722866,14.87303796,14.6574865,14.84816609,10551326
1/10/14,15.07200336,15.25439227,14.84816135,14.9393566,15440268
1/13/14,15.06371498,15.08858685,14.66577463,15.03055249,13295214
1/14/14,14.75696564,15.14446161,14.66577198,14.99738888,12176405
1/15/14,14.9559412,15.03055364,14.57458048,14.62432263,8537703
1/16/14,15.09687614,15.17149016,14.8813263,15.08029648,8840029
1/17/14,15.56114197,15.66891689,15.29584838,15.29584838,19147143
1/21/14,15.95908165,16.00053318,15.43678513,15.55285067,18194186
1/22/14,15.58600807,15.75181731,15.47823318,15.75181731,11701955
1/23/14,16.00882339,16.24924668,15.81814384,15.82643446,18038288
1/24/14,15.7766943,16.53941418,15.51139912,16.13318158,22939591
1/27/14,15.36216927,15.69378619,15.31242554,15.64404405,13737592
1/28/14,15.58600807,15.65233145,15.32900518,15.43678166,11757372
1/29/14,16.18292236,16.24924575,15.80985232,15.8430148,20794290
1/30/14,15.93421078,16.05856853,15.54456102,15.62746566,17058563
1/31/14,15.98395157,16.22437325,15.80156107,16.02540309,16138500
2/3/14,16.00053024,16.38189087,15.98395058,16.14975825,17400468
2/4/14,15.8761797,16.00053588,15.76011413,15.89276094,13351482
2/5/14,15.38704395,16.01711708,15.36631819,15.92592181,14274172
2/6/14,15.33729649,15.58600877,15.20464972,15.47823387,7316255
2/7/14,15.66062164,15.74352626,15.3787469,15.4202,10389300
2/10/14,15.98395157,16.09172648,15.83472356,15.85959384,10779747
2/11/14,16.22437668,16.34873285,15.98395495,16.10831113,13502802
2/12/14,15.7269516,16.32386382,15.59430479,16.29070132,18612527
2/13/14,16.65548325,16.7632582,15.8596007,15.8927632,21829042
2/14/14,16.86273956,17.19162094,16.64718813,16.99538635,19749543
2/18/14,16.87931633,17.2772566,16.71350709,17.26896598,13902001
2/19/14,16.3901844,17.12803234,16.31557039,16.84615753,14073143
2/20/14,17.39333153,17.43478465,16.42335061,16.73009739,19679495
2/21/14,17.36845589,17.57986121,17.19435599,17.39332617,13891852
2/24/14,17.60058403,17.72494017,17.39332326,17.60887465,15749977
2/25/14,17.47623253,17.78297924,17.42649037,17.57571842,12263934
2/26/14,17.27678871,17.50947171,17.01917313,17.38481988,13266082
2/27/14,17.20199776,17.53855756,17.04825896,17.26847884,11473093
2/28/14,16.9360733,17.28509943,16.86959221,17.21861833,12271451
3/3/14,17.0357914,17.46791917,16.98593099,17.4014381,11823992
3/4/14,16.91944885,17.11889206,16.79479546,16.91944885,9334140
3/5/14,16.9360733,17.16875791,16.7283197,16.96931464,10309787
3/6/14,16.91113853,17.09396108,16.81141614,17.05241101,10919640
3/7/14,16.54549599,16.69507883,16.38012462,16.52056499,11147718
3/10/14,16.41253281,16.56277977,16.27126031,16.5538053,7744429
3/11/14,16.47070503,16.62859821,16.40422394,16.50394637,10478088
3/12/14,16.90283012,16.93606987,16.65435704,16.71169723,10094745
3/13/14,17.27678871,17.33495946,16.80310921,16.9194523,12390210
3/14/14,17.37650871,17.53440187,17.16044481,17.45130013,12193983
3/17/14,16.9942379,17.35988294,16.98592757,17.26847247,10728674
3/18/14,16.80310822,16.93607037,16.58704431,16.59535464,11402624
3/19/14,16.11336327,16.62859272,16.06350286,16.53718066,13300033
3/20/14,16.13829613,16.31280835,15.87237183,15.94716324,9341010
3/21/14,16.1216774,16.37098264,15.93054449,16.36267231,16055209
3/24/14,15.39869595,15.9554756,15.24911311,15.91392394,15150283
3/25/14,15.39038372,15.62306669,15.27404065,15.47348546,8652727
3/26/14,14.85853577,15.48179652,14.82529602,15.38207569,15661574
3/27/14,15.02474403,15.15770624,14.72557827,14.81699038,12531297
3/28/14,15.2075634,15.34052558,14.78806824,14.96657004,12542476
3/31/14,14.81697845,15.19508973,14.7504974,15.10783365,10144617
4/1/14,14.86684895,15.03305248,14.73804271,14.90009029,8010733
4/2/14,15.47348309,15.58982455,15.16600717,15.16600717,14418500
4/3/14,15.24911594,15.34052646,15.09122275,15.33221771,10580509
4/4/14,15.3571434,15.79758154,15.27404166,15.69785913,9460745
4/7/14,15.24911594,15.47349023,15.14108317,15.29066603,6475656
4/8/14,15.61475754,15.66461795,15.41531274,15.53996613,7522842
4/9/14,15.73109913,15.97209242,15.37376277,15.43193351,10037028
4/10/14,15.61475754,15.93054224,15.5316558,15.86406116,9889908
4/11/14,15.47348309,15.90976517,15.44024176,15.62306429,8482340
4/14/14,15.64800167,15.78927419,15.56489991,15.65631201,11703850
4/15/14,15.40700626,15.46517701,15.03221863,15.14939068,10447939
4/16/14,15.22418118,15.44024508,15.1327691,15.39038466,7649299
4/17/14,14.9416399,15.32390738,14.91671048,15.28235571,8633625
4/21/14,14.35992622,14.98318689,14.26851415,14.87515415,25719204
4/22/14,14.58430195,14.65078304,14.42641036,14.55937253,18948459
4/23/14,14.8003664,14.95825959,14.50951104,14.65078355,12327036
